(0,417.7)
(0,407.7)
(6.37012409,407.680318)
(12.7368632,407.621419)
(25.4468951,407.387987)
(38.1045599,407.006448)
(25.4468951,407.387987)
(12.7368632,407.621419)
(6.37012409,407.680318)
(0,407.7)
(-6.37012409,407.680318)
(-12.7368632,407.621419)
(-25.4468951,407.387987)
(-38.1045599,407.006448)
(-25.4468951,407.387987)
(-12.7368632,407.621419)
(-6.37012409,407.680318)
(0,407.7)
(6.37012409,407.680318)
(12.7368632,407.621419)
(25.4468951,407.387987)
(38.1045599,407.006448)
(25.4468951,407.387987)
(12.7368632,407.621419)
(6.37012409,407.680318)
(0,407.7)
(-6.37012409,407.680318)
(-12.7368632,407.621419)
(-25.4468951,407.387987)
(-38.1045599,407.006448)
(-25.4468951,407.387987)
(-12.7368632,407.621419)
(-6.37012409,407.680318)
(0,407.7)
(6.37012409,407.680318)
(12.7368632,407.621419)
(25.4468951,407.387987)
(38.1045599,407.006448)
(25.4468951,407.387987)
(12.7368632,407.621419)
(6.37012409,407.680318)
(0,407.7)
(-6.37012409,407.680318)
(-12.7368632,407.621419)
(-25.4468951,407.387987)
(-38.1045599,407.006448)
(-25.4468951,407.387987)
(-12.7368632,407.621419)
(-6.37012409,407.680318)
(0,407.7)
(6.37012409,407.680318)
(12.7368632,407.621419)
(25.4468951,407.387987)
(38.1045599,407.006448)
(25.4468951,407.387987)
(12.7368632,407.621419)
(6.37012409,407.680318)
(0,407.7)
(-6.37012409,407.680318)
(-12.7368632,407.621419)
(-25.4468951,407.387987)
(-38.1045599,407.006448)
(-25.4468951,407.387987)
(-12.7368632,407.621419)
(-6.37012409,407.680318)
